Results of league and cup competitions by season,,,,,,,,,,,,,,,,
Season,Division,P,W,D,L,F,A,Pts,Pos,FA Cup[56][d],League,Community,Competition,Result,Name,Goals
,League[58],,,,,,,,,,Cup[57],Shield[57],Other / Europe[59][e],,Top goalscorer[f],
1986–87,Div 1,42,20,10,12,58,35,70,4th,QF,W,—,—,—,Martin Hayes,24
1987–88,Div 1,40,18,12,10,58,39,66,6th,QF,RU,—,—,—,Alan Smith,16
1988–89,Div 1,38,22,10,6,73,36,76,1st,R3,R3,—,Mercantile Credit Centenary Trophy,W,Alan Smith,25 ?
1989–90,Div 1,38,18,8,12,54,38,62,4th,R4,R4,RU,—,—,Alan Smith,13
1990–91,Div 1,38,24,13,1,74,18,83[r],1st,SF,R4,—,—,—,Alan Smith,27 ?
1991–92,Div 1,42,19,15,8,81,46,72,4th,R3,R3,W,European Cup,R2,Ian Wright,26 ?[s]
1992–93,Prem,42,15,11,16,40,38,56,10th,W,W,—,—,—,Ian Wright,30
1993–94,Prem,42,18,17,7,53,28,71,4th,R4,R4,RU,Cup Winners' Cup,W,Ian Wright,35
1994–95,Prem,42,13,12,17,52,49,51,12th,R3,QF,—,Cup Winners' Cup,RU,Ian Wright,30
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Super Cup,RU,,
1995–96,Prem,38,17,12,9,49,32,63,5th,R3,SF,—,—,—,Ian Wright,22
1996–97,Prem,38,19,11,8,62,32,68,3rd,R4,R4,—,UEFA Cup,R1,Ian Wright,30
1997–98,Prem,38,23,9,6,68,33,78,1st,W,SF,—,UEFA Cup,R1,Dennis Bergkamp,22
1998–99,Prem,38,22,12,4,59,17,78,2nd,SF,R4,W,Champions League,Group,Nicolas Anelka,19
1999–2000,Prem,38,22,7,9,73,43,73,2nd,R4,R4,W,Champions League,Group,Thierry Henry,26
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UEFA Cup[t],RU,,
2000–01,Prem,38,20,10,8,63,38,70,2nd,RU,R3,—,Champions League,QF,Thierry Henry,22
2001–02,Prem,38,26,9,3,79,36,87,1st,W,QF,—,Champions League,GS2,Thierry Henry,32 ?
2002–03,Prem,38,23,9,6,85,42,78,2nd,W,R3,W,Champions League,GS2,Thierry Henry,32
2003–04,Prem,38,26,12,0,73,26,90,1st,SF,SF,RU,Champions League,QF,Thierry Henry,39 ?[u]
2004–05,Prem,38,25,8,5,87,36,83,2nd,W,QF,W,Champions League,R16,Thierry Henry,30 ?[v]
2005–06,Prem,38,20,7,11,68,31,67,4th,R4,SF,RU,Champions League,RU,Thierry Henry,33 ?
2006–07,Prem,38,19,11,8,63,35,68,4th,R5,RU,—,Champions League,R16,Robin van Persie,13
2007–08,Prem,38,24,11,3,74,31,83,3rd,R5,SF,—,Champions League,QF,Emmanuel Adebayor,30
2008–09,Prem,38,20,12,6,68,37,72,4th,SF,QF,—,Champions League,SF,Robin van Persie,20
2009–10,Prem,38,23,6,9,83,41,75,3rd,R4,QF,—,Champions League,QF,Cesc Fàbregas,19
2010–11,Prem,38,19,11,8,72,43,68,4th,QF,RU,—,Champions League,R16,Robin van Persie,22
2011–12,Prem,38,21,7,10,74,49,70,3rd,R5,QF,—,Champions League,R16,Robin van Persie,37 ?
2012–13,Prem,38,21,10,7,72,37,73,4th,R5,QF,—,Champions League,R16,Theo Walcott,21
2013–14,Prem,38,24,7,7,68,41,79,4th,W,R4,—,Champions League,R16,Olivier Giroud,22
2014–15,Prem,38,22,9,7,71,36,75,3rd,W,R3,W,Champions League,R16,Alexis Sánchez,25
2015–16,Prem,38,20,11,7,65,36,71,2nd,QF,R3,W,Champions League,R16,Olivier Giroud,24
2016–17,Prem,38,23,6,9,77,44,75,5th,W,QF,—,Champions League,R16,Alexis Sánchez,30
2017–18,Prem,38,19,6,13,74,51,63,6th,R3,RU,W,Europa League,SF,Alexandre Lacazette,17
